,image,abs_aspect_ratio,shape,aspect_adjust,adjust_aspect_ratio,adjust_shape,handle
18,trinary0001-1232-2215SDS_Wash_U_F08w2_combo.tif,3.1206896551724137,"[181, 58]",False,3.1206896551724137,"[181, 58]",handle
19,trinary0001-1266-2028SDS_Wash_U_E07w2_combo.tif,2.6748768472906406,"[203, 543]",False,2.6748768472906406,"[203, 543]",handle
20,trinary0001-1274-1119SDS_Wash_I_E05.tif,12.727272727272727,"[55, 700]",True,1.0,"[534, 534]",handle
21,trinary0001-1279-1860SDS_Wash_I_E05.tif,3.171974522292994,"[157, 498]",False,3.171974522292994,"[157, 498]",handle
22,trinary0001-1355-0760SDS_Wash_U_E05w2_combo.tif,1.0703883495145632,"[412, 441]",False,1.0703883495145632,"[412, 441]",handle
23,trinary0001-1384-2556SDS_Wash_I_E03.tif,4.232558139534884,"[86, 364]",False,4.232558139534884,"[86, 364]",handle
24,trinary0001-1446-3228SDS_Wash_I_E09.tif,1.3417721518987342,"[237, 318]",False,1.3417721518987342,"[237, 318]",handle
25,trinary0001-1557-2954SDS_Wash_U_E07w2_combo.tif,1.662162162162162,"[296, 492]",False,1.662162162162162,"[296, 492]",handle
26,trinary0001-1560-1299SDS_Wash_U_C07w2_combo.tif,6.4393939393939394,"[66, 425]",True,1.0,"[347, 347]",handle
27,trinary0001-1560-3632SDS_Wash_U_D08w2_combo.tif,1.346774193548387,"[334, 248]",False,1.346774193548387,"[334, 248]",handle
28,trinary0001-1580-2000SDS_Wash_U_C05w2_combo.tif,5.476190476190476,"[460, 84]",True,1.0,"[385, 385]",handle
29,trinary0001-1581-2506SDS_Wash_U_G07w2_combo.tif,1.7179487179487178,"[312, 536]",False,1.7179487179487178,"[312, 536]",handle
30,trinary0001-1598-3725SDS_Wash_U_F05w2_combo.tif,1.8625,"[149, 80]",False,1.8625,"[149, 80]",handle
31,trinary0001-1612-1813SDS_Wash_U_F07w2_combo.tif,3.358490566037736,"[178, 53]",False,3.358490566037736,"[178, 53]",handle
32,trinary0001-1625-2441SDS_Wash_U_F08w2_combo.tif,1.7473684210526317,"[95, 166]",False,1.7473684210526317,"[95, 166]",handle
33,trinary0001-1670-3234SDS_Wash_U_D05w2_combo.tif,4.352380952380952,"[105, 457]",False,4.352380952380952,"[105, 457]",handle
34,trinary0001-1699-0981SDS_Wash_I_E11.tif,8.090909090909092,"[77, 623]",True,1.0,"[495, 495]",handle
35,trinary0001-1708-1664SDS_Wash_I_E09.tif,3.123222748815166,"[211, 659]",False,3.123222748815166,"[211, 659]",handle
36,trinary0001-1774-3848SDS_Wash_U_B07w2_combo.tif,7.558441558441558,"[582, 77]",True,1.0,"[466, 466]",handle
37,trinary0001-1812-0220SDS_Wash_I_E02.tif,5.731481481481482,"[619, 108]",True,1.0,"[514, 514]",handle
38,trinary0001-1819-2935SDS_Wash_I_E09.tif,3.218274111675127,"[197, 634]",False,3.218274111675127,"[197, 634]",handle
39,trinary0001-1859-2708SDS_Wash_U_C07w2_combo.tif,1.0804195804195804,"[309, 286]",False,1.0804195804195804,"[309, 286]",handle
